177: 294,111,263,424,308,300,107,123
995: 637
179: 805,655,343,126,238
180: 671,347,708,839,628,393
181: 425,259,302,197,533
182: 269,292,166,453,53,160,58,170
183: 58,170,134,127,65,235,210
184: 92,140,251,60,485,322,218,59,392
185: 448,507,106,1008,423,770,612
186: 924,116,142,355,437,45,395
187: 383,449,207,260,412,388,226,356
188: 213,165,0,278,342,246,428,50
189: 317,344,282,263,91,461,215
190: 72,227,290,98,55,478,135
191: 498,321,32,36,401,27,468,258,136
192: 445,151,265,855,434,152,979,601,679
193: 78,64,487,1007,314,352,17,11
194: 4,587,245,610,916,834,1013
195: 273,75,237,216,391
196: 47,201,374,73,30,401,621,321,32
197: 935,335,533,259,181
198: 365,26,304,173,110,246,375
199: 70,410,275,35,988,288,405,667
200: 153,421,456,99,167,399,491
201: 47,196,374,73,103,79,61,228,20
202: 60,485,322,44,452,117,206,268,218,159
203: 328,497,398,81,35,280,70,94
204: 207,479,232,260,85,264,257
205: 54,467,136,36,31,93,7,503
206: 337,44,452,117,499,162,268,287,202,485,159
207: 204,479,260,50,407,257,378,449,187
208: 118,898,856,769,129,368,329
209: 311,426,156,125,310,223,436,415,163,345
210: 5,307,183,134,65,354,333
211: 483,687,119
212: 437,45,15,387,284,174,237,161,427
213: 188,165,270,100,278,157,484
214: 9,53,160,303,66,155,166,411
215: 446,217,461,189,282,451,153,421
216: 237,150,161,341,71,195,75,391
217: 446,461,215,108,91,77,229,221
218: 408,159,202,322,184,440,392
219: 78,64,1007,315,494,33,308,340,438
220: 51,30,401,621,936,458,468,261
221: 332,229,38,459,77,446,217,297
222: 327,329,769,291,249
223: 436,429,311,209,156,373,415,163
224: 166,411,433,41
225: 403,378,482,412,325,450,331
226: 388,1023,260,264,257,67,187
227: 190,72,98,408,10,440,478,473
228: 310,20,309,79,47,201,374,156,321
229: 332,221,446,217,421,456,404,144
230: 289,121,364,133,88,414,301
231: 462,552,233,517,537,1031
232: 204,479,85,242,48,431,264,257,67
233: 502,517,537,1031,1011,231
234: 272,80,274,450,146,768,568,617
235: 65,333,174,292,57,183,170,380,387
236: 51,621,607,697,23,74
237: 150,216,161,427,212,15,195,75
238: 353,281,495,179,712,655,243,126
239: 451,124,99,155,9,53,493,358
240: 29,809,476,989,54,467,84,503
241: 48,369,334,336,31,93,242
242: 342,85,14,334,48,241,232
243: 313,126,314,238,495,487,1007
244: 157,89,110,484,456,144,173,399
245: 4,194,834,1013,465,577
246: 481,375,255,278,157,110,188,198,82,428
247: 494,394,105,359,133,340,438,414
248: 855,625,1036,324,490,76,152
249: 222,327,329,441,472
1038: 
251: 92,140,184,10,59,392,469,76,41
252: 395,132,510,45,15,75
253: 37,878,921,560,744
254: 455,276,432,326,162,298,101,439,339,164
255: 481,246,375,82,428,396
256: 431,369,7,93,503,413,948
257: 264,67,207,204,232,260,226,1023
258: 336,31,93,426,125,498,191,36,345
259: 425,181,197,935,533,277,753
260: 207,204,257,449,187,388,226
261: 458,846,468,476,51,220,23,936,318,306
262: 102,457,376,496,116,142,97
263: 294,177,107,91,189,317,461
264: 257,67,948,267,48,431,204,232,226
265: 192,445,151,979,601,728,679
266: 8,104,553,833,841,587,162,464,337,499
267: 264,67,948,312,95,1023,370
268: 339,164,287,337,206,202,486,408,406,159,52
269: 292,57,420,385,182,433,453,151
270: 373,415,100,492,213,165,342,14
271: 372,350,466,168,346,158,328,384
272: 234,384,80,350,325,482,450,768
273: 195,63,285,391,409
274: 234,384,80,328,497,398,94,149,767,617
275: 410,199,409,988,405
276: 254,455,432,326,339,164,52
277: 805,753,425,259,109,171,313,126
278: 157,110,484,213,188,246,428
279: 3,330,138,462,584,128,918
280: 35,63,285,474,497,203,81,410
281: 353,238,495,712,655,46,87,323
282: 189,344,461,215,451,124,153
1019: 504,1014,546,516
284: 387,349,102,16,142,97,437,212
285: 35,63,280,391,474,341,273,81
286: 680,2,566,803
287: 339,164,268,8,162,337,206
288: 115,94,149,70,199,667,519
289: 230,364,18,414,68,13,360
290: 190,72,52,432,49,55
291: 812,545,222
292: 269,57,385,182,58,170,380,235
293: 712,655,840
294: 55,111,177,263,107,317
295: 56,320,950,697
296: 19,441,88,327,329,367,121
297: 22,436,429,475,319,332,38,221,404,373
298: 113,101,787,439,62,326,83,477,164,254,455
299: 353,323,389
300: 33,308,424,12,11,177,107,123
301: 19,103,79,121,230,364,447,20
302: 425,181,139,109,171
303: 214,10,59,66,473,155,166,411
304: 26,316,198,40,167,173,357,110
305: 365,26,316,366,168,346,25,422,372
306: 318,929,989,686,936,861,261
307: 210,5,366,354,316,69,71
308: 33,300,340,219,419,177,123,390
309: 310,228,20,447,338,22,436,156
310: 228,20,309,47,426,209,156,321,32
311: 209,156,223,436
312: 379,996,95,413,948,267,566
313: 243,126,277,109,171,314,487
314: 86,171,313,243,352,477,78,487,193
315: 78,219,1007,495,494,394,389,340
316: 305,26,304,40,357,5,307,366
317: 189,344,294,55,263,402,135
318: 929,306,989,936,458,846,476,261,29
319: 360,338,459,68,13,38,22,297
320: 56,295,176,351
321: 498,191,32,310,228,47,196,426,156,125
322: 60,202,485,117,218,159,140,184,392
323: 394,389,105,353,299,281,118,46,368
324: 122,423,823,92,625,1036,248,76
325: 350,466,396,481,225,403,482,272
326: 83,162,464,62,298,439,164,254,276
327: 222,329,367,249,296,441,472
328: 158,497,398,203,271,384,80,274
329: 222,327,367,208,769,129,249,296
330: 577,138,653,462,3,279
331: 120,450,146,225,482,412,430
332: 229,38,221,297,475,404
333: 65,235,354,174,210,150,161,71
334: 345,492,336,342,14,242,241
335: 958,531,197,935,533
336: 258,31,93,125,334,345,492,369,241
337: 452,117,206,499,8,266,162,268,287
338: 360,447,319,20,309,22,436
339: 164,268,287,162,254,276,432,406,159,52
340: 33,308,219,64,315,494,247,438,419
341: 474,69,71,150,216,285,391,81
342: 85,14,242,270,334,188,165,0,479
343: 655,722,179,805
344: 189,317,282,402,135,155,124
345: 334,163,492,209,125,415,336,258
346: 168,25,422,365,305,372,271,158
347: 671,496,180,116,355,839,393
348: 430,24,120,146,645,443,687,772
349: 380,387,284,57,385,102,457,16,174
350: 372,466,271,325,482,384,272,80
351: 778,176,320,756
352: 477,17,175,86,314,787,64,487,193
353: 299,238,281,495,46,87,323,389
354: 65,333,210,5,307,150,71
355: 116,142,97,347,839,924,186,393
356: 430,24,383,187,388,858,645
357: 167,173,491,417,493,40,304,316
358: 493,127,9,53,239,58
359: 129,368,133,88,118,247,105,367
360: 447,338,319,289,364,13,22
361: 6,454,708,671
362: 28,747,924,132,510,418
363: 490,434,469,152,433,41,151,420
364: 289,121,230,414,301,360,447
365: 305,26,198,481,375,346,422,372,466
366: 5,307,305,26,316,69,25
367: 327,329,129,359,88,296,441
