168: 346,25,158,474,69,271,81,285,328,497
1031: 233,507,185,1021
170: 58,292,182,127,183,380,65,235,333,210
171: 139,109,753,875,313,126,352,314,86
172: 388,370,43,836,356,724
173: 167,357,491,304,399,40,157,89,110,244,26,198,375
174: 65,235,333,380,387,349,354,212,150,161
175: 424,12,131,101,477,17,787,254,455,432
176: 56,710,351,320
177: 107,108,123,424,308,300,294,111
995: 677,991
179: 281,856,343,813,722,238,805,353
180: 868,899,6,606,953,891,839,595
181: 277,425,753,259,744,813,109
182: 58,292,170,453,53,160,269,420
183: 417,127,134,58,170,65,235,210,5
184: 59,440,392,60,128,485,218,322,92,140,251
185: 770,1021,518,1031,507
186: 437,45,212,116,142,355,924,252,395
187: 383,449,260,388,226,24,356
188: 165,0,278,157,246,428,50
189: 317,344,282,461,215,263
190: 72,290,55,478,402,473,227,135
191: 498,401,32,196,220,27,458,468,136,36
192: 445,1036,265,434,855,363,979,385,151,679
193: 78,64,487,352,477,17,314,86
194: 4,916,834,567,517,833,914,587
195: 237,216,75,15,341,273,510,391
196: 30,73,374,47,220,191,401,32,321
197: 259,335,958
198: 365,26,316,173,357,304,110,246,375
199: 410,667,137,35,63,94,288
200: 153,421,399,99,229,451,144,456,167,491
201: 296,19,441,103,61,79,301,374
202: 339,206,268,287,117,653,485,406,159,322
203: 328,497,398,35,63,81,280,285,94
204: 207,257,85,67,479,232,407,449,260
205: 31,93,136,36,476,467,29,369,7
206: 339,268,287,337,202,8,162,117,452,653,485
207: 204,85,479,407,403,378,412,449,260
208: 118,898,812,129,368,769,934
209: 125,426,156,223,436,415,163,345
210: 5,307,354,170,40,134,183,65,333
211: 119,483,772,556
212: 437,45,15,186,97,387,284,174,237,161,75
213: 165,278,270,100
214: 9,53,160,66,473,303,166,411,155
215: 446,461,263,189,282,451,153,421
216: 237,150,161,195,341,71,285,391
217: 446,461,108,91,77,332,229,221
218: 485,408,159,322,60,251,10,440,392,184,227
219: 78,64,315,394,494,33,308,340
220: 51,1026,236,30,196,191,401,261,468,861
221: 332,38,297,459,77,446,217
222: 291,655,327,249,950
223: 436,429,209,156,373,415,163,492
982: 701
225: 403,378,482,412,331,407,325,450,430
226: 388,370,67,1023,948,187,260,356
227: 478,473,218,408,190,72,290,10,440
228: 310,20,79,47,374
229: 332,446,217,200,421,404,144,475,456
230: 289,121,88,133,367,18,414,360,364,301
231: 507,1025,852,537,462
232: 342,242,14,48,431,241,204,257,85,264
233: 1031,1025,801
234: 959,617,768,115,274,767,112
235: 65,174,333,57,292,170,183,380,387,354
236: 220,51,1026,756,74,30,23,861
237: 150,216,161,195,75,212,15,510,391
238: 243,126,805,281,179,353,46,495,1007,487,389
239: 451,493,358,155,344,282,124,9,53
240: 2,989,809,706,54,84,286
241: 48,431,369,334,345,336,31,93,242,14,232
242: 342,14,232,334,492,336,48,241,85
243: 313,126,238,805,813,495,314,1007,487
244: 484,157,89,110,246,399,144,167,173
245: 4,916,517,833,502,330,465,145
246: 157,110,244,188,278,198,481,375,255,82,428
247: 438,414,394,323,494,105,133
248: 625,884,423,552,92,324,76,490,152
249: 472,997,950,655,291,222,327
1038: 
251: 92,140,469,128,218,10,59,392,184,76,41
252: 395,132,418,45,15,186,75,510
253: 732,748,37,845,560
254: 455,276,164,162,298,439,101,326,175
255: 481,396,375,110,246,365,82,428,50,466
256: 413,312,54,286,680,503
257: 204,85,67,479,342,232,48,431,264,1023,260
258: 336,31,36,125,498,345
259: 197,181,277,425,722
260: 383,449,187,207,204,257,67,1023,226
261: 27,458,468,306,220,51,401,861,649
262: 116,142,355,496,1039,376,457,97,102,347,437
263: 461,215,294,55,107,108,91,189,317
264: 1023,503,948,232,48,431,257,67
265: 192,445,1036,979,1045,147,728,679,457,16
266: 8,841,553,464,83,377
267: 312,95,948,370,43,836,803
268: 339,206,287,202,159
269: 385,57,420,151,453,160,292,182
270: 373,415,100,492,213,165,278,14
271: 372,350,466,481,168,346,158,384,272
272: 568,384,80,350,271,325,482,443,450
273: 28,510,195,63,280,285,391,409
274: 115,94,288,767,328,398,80,959,234,768
275: 741,616,409,28,63,410,667,988
276: 254,455,432,164,339,287,52,290
277: 181,425,259,813,109,126,805
278: 213,188,165,21,270,100,484,157,246,428
279: 330,537,145,577,499,584,138
280: 35,63,81,285,391,273,203
281: 856,179,238,805,353,87,1043
282: 189,344,124,215,451,239,155,153
1019: 
284: 380,387,349,102,97,142,437,212
285: 63,81,280,391,216,474,69,341,168,273,203
286: 54,84,2,989,240,413,256
287: 339,206,268,337,202,162,117,276,164
288: 115,94,274,767,35,199,667,137,519
289: 121,230,18,414,68,13,360,364
290: 190,72,52,276,432,131,55,111,49,227,135
291: 222,655,249,950
292: 58,170,182,269,385,57,380,65,235
293: 776,736,675,856,908
294: 55,111,49,424,107,91,177,317,263
295: 56,320,621,607
296: 19,201,441,367,769,329,121,88,301
297: 332,38,221,319,22,436,429,404,475,373
298: 439,101,326,113,875,787,254
1053: 735,957,1032
300: 33,308,11,424,12,111,123,177
301: 20,79,121,230,296,19,201,447,364
302: 442,938,966,744,425,753,139
303: 66,478,473,10,59,440,166,411,433,160,214
304: 173,357,417,40,5,365,26,198,316
305: 365,26,316,366,346,25,422,372
306: 458,261,468,51,861,929,649,476,318
307: 210,5,354,366,316,69,341,71,25
308: 33,300,11,340,219,438,419,108,123,390,177
309: 310,20,447,338,436,426,156
310: 228,20,47,309,426,156,321
983: 532
312: 413,256,267,95,379
313: 243,126,805,109,171,314,86,487
314: 352,17,86,171,313,243,193,487
315: 389,394,323,494,495,78,219,64,1007
316: 365,305,26,198,40,134,357,304,5,307,366
317: 189,344,135,294,55,402,263
318: 476,29,458,306,929,809,706
319: 360,338,459,13,38,297,22,436
320: 351,814,56,295,176,607
321: 498,401,32,310,47,196,426,156
322: 485,218,408,159,202,60,653,392,184
323: 315,389,394,46,495,118,129,368,105,247
324: 92,469,122,918,552,248,423,76,152
325: 350,466,481,396,82,225,403,378,482,272
326: 298,439,101,83,162,254,164
327: 903,329,655,222,249,472,441,103
328: 203,497,398,168,158,384,80,274,768
329: 903,327,934,367,769,296,19,441
330: 279,465,537,145,4,245,499,138
331: 225,378,482,412,383,443,450,146,430
332: 229,38,221,297,446,217,404,475
333: 65,235,174,170,380,210,354,150,161,71
334: 163,345,492,336,93,242,14,48,241
335: 531,987,958,921,197
336: 258,31,93,36,125,334,345,492,242,241
337: 206,287,8,464,162,117,452,499
338: 360,447,319,309,22,436,156
339: 206,268,287,202,276,432,164,408,406,159,72,52
340: 33,308,219,494,438,419,390
341: 474,69,71,307,150,216,195,81,285,391
342: 242,14,232,165,0,48,257,85,479
343: 736,722,179
344: 189,317,135,282,124,402,239,155
345: 334,163,492,125,209,415,336,258,241
346: 168,25,422,158,305,474,372,466,271
347: 361,628,953,555,1039,116,355,262,496,839,393
348: 556,609
349: 380,387,284,16,102,385,57,679,97,174
350: 372,466,271,325,396,482,568,384,272,450
351: 320,814,710,56,176
352: 477,17,314,86,787,171,193
353: 46,495,87,281,856,179,238,805
354: 210,5,307,65,235,174,333,150,69,71
355: 116,142,262,347,437,186,924,393,395
356: 383,187,388,226,172,24
357: 167,173,491,304,493,99,417,40,134,198,316
358: 451,493,239,9,53,58,127
359: 129,105,367,133
360: 447,338,319,364,289,230,459,13
361: 347,628,953,891,647,555,1039,376,6,116,496
362: 742,132,418,28,616
363: 411,453,433,41,469,490,434,855,192,420,151
364: 360,447,289,121,230,88,19,13,301
365: 305,26,198,316,304,481,375,255,372,466
366: 5,307,305,26,316,69,25
367: 129,359,105,769,903,329,934,121,230,88,133,296
368: 129,105,769,46,118,208,394,323,934
369: 48,431,241,7,93,205,680,503
370: 388,226,172,1023,948,267,43,836
1020: 
372: 350,466,271,365,305,26,481,396,375,346,422
