176: 812,778,56,320,351
177: 294,55,111,424,300,107,123
995: 637
179: 343,281,655,805,126,238
180: 671,347,361,879,116,393,652,628,839
181: 425,753,533,259,966
182: 58,170,53,160,269,453,292
183: 58,170,417,134,127,65,235,210
184: 140,251,128,60,485,322,218,159,59,440,392
185: 106,448,1021,552,968,689,612
186: 116,142,355,437,45,924,252,395
187: 383,449,356,260,388,226,1023,24
188: 213,165,0,278,342,428,50
189: 317,344,282,263,91,446,461,215
190: 72,227,290,98,55,49,478,135
191: 498,321,36,32,401,468,27
192: 445,151,265,855,434,152,979,385
193: 78,64,1007,487,314,352,477,17
194: 4,587,833,834,245,145
195: 273,510,75,237,216,341,391
196: 47,32,374,73,401,30,220,607
197: 335,533,259,935
198: 304,26,316,173,357,110,246,375,365
199: 275,410,667,63,35,203,94,288
200: 153,421,399,99,451,456,167,491
201: 61,19,103,79,228,20,47,374,73
202: 218,159,44,117,268,287,206,60,653,485,322
203: 328,497,398,81,280,35,199,94,149
204: 207,479,232,85,257,260,0,407,264,226
205: 31,93,136,467,7,54
206: 339,268,287,337,162,577,44,452,117,485,159,202
207: 204,479,257,260,407,403,378,449
208: 118,769,903,129,368,329,367
209: 125,426,156,223,436,311,415,163
210: 5,307,354,183,134,65,333
211: 851,687,483,119,512
212: 437,45,15,387,284,174,97,237,161
213: 188,165,278,270,100,484,157
214: 9,53,160,155,303,66,166,411
215: 446,461,189,344,282,451,153,421
216: 237,150,341,71,195,75,285,391
217: 446,461,108,91,77,332,229,221
218: 408,159,202,322,227,184,251,440,392
219: 78,64,315,494,394,33,340,11
220: 51,621,30,196,401,458,261,468
221: 332,229,38,297,459,77,446,217
222: 327,329,249,472
223: 436,429,311,209,156,373,415,163
224: 166,411,433,41
225: 403,378,482,412,325,331
226: 388,1023,204,257,260,67,449,187,356
227: 190,72,290,98,218,408,440,66,478,473
228: 310,20,301,79,201,47,374
229: 332,221,446,217,421,404,456
230: 289,121,364,88,133,359,414,296,301
231: 462,1008,502,537,517,1031,233
232: 204,479,85,257,342,242,48,431,264,67
233: 1031,1011,502,231
234: 272,80,274,768,328,568,617
235: 65,174,333,292,183,170,380,387
236: 23,837,697,74,51,621
237: 150,216,161,427,212,15,195,75
238: 353,87,495,805,179,281,243,126
239: 451,124,358,282,9,53,155,99,493
240: 809,989,84,467,29,566
241: 48,369,7,334,336,93,242
242: 342,14,334,48,369,241,232,85
243: 313,126,277,314,238,495,1007,487
244: 484,157,89,110,399,144,456,167,173
245: 834,610,4,194,537,465
246: 157,110,278,198,375,255,428
247: 494,394,323,105,359,340,438,414,133
248: 855,625,770,324,423,92,490,152,76,1036
249: 472,291,222,327,950,997
1038: 
251: 92,140,184,469,218,59,392,76,41
252: 395,132,186,45,15,510,75
253: 581,557,37,878,560,845
254: 455,276,432,326,162,298,439,101,339,164,175
255: 481,396,375,365,110,246,82,428,50
256: 48,431,369,7,503,264,948,413
257: 207,204,232,85,260,264,948,67,226,1023
258: 336,31,125,426,498,36,163,345
259: 197,533,935,753,181
260: 207,204,257,67,378,449,187,226
261: 458,468,401,51,621,220,936,318,989,306
262: 116,142,97,102,457,376,347,496
263: 294,55,107,108,91,189,317,461
264: 948,67,48,431,369,256,204,232,257
265: 192,445,147,601,979,728,679
266: 8,553,841,104,162,377,464,499
267: 312,948,67,1023,370,95
268: 339,164,287,337,206,117,322,486,408,406,159,202,52
269: 385,57,420,453,292,160,151,182
270: 373,415,100,492,213,165,14
271: 372,350,466,168,346,158,328,384
272: 234,384,80,768,350,482,450
273: 195,510,75,39,63,391,409,410
274: 234,384,80,328,497,398,149,568,617
275: 410,199,667,988,409,850,405
276: 254,455,432,326,339,164,287,52
277: 805,753,109,171,313,243,126
278: 213,188,165,484,157,110,246,428,50
279: 3,584,138,330,577,462,653,823
